duration,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,serror_rate,rerror_rate,dst_host_count,pred_label,severity,confidence,reasons
0,tcp,private,REJ,0,0,229,10,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,private,REJ,0,0,136,1,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
1,tcp,telnet,RSTO,0,15,1,8,0.0,1.0,29,ATTACK,LOW,0.7,High rerror_rate
0,tcp,smtp,SF,1022,387,1,3,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,telnet,SF,129,174,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,telnet,SF,0,0,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,smtp,SF,616,330,1,2,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,REJ,0,0,111,2,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,telnet,S0,0,0,120,120,1.0,0.0,235,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
0,tcp,http,SF,213,659,24,24,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,udp,private,SF,45,44,505,505,0.0,0.0,255,ATTACK,MEDIUM,0.8,High count; High dst_host_count
0,tcp,private,REJ,0,0,204,18,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,ldap,REJ,0,0,118,19,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,pop_3,S0,0,0,1,1,1.0,0.0,255,ATTACK,MEDIUM,0.8,High serror_rate; High dst_host_count
0,tcp,http,SF,196,1823,17,17,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,courier,REJ,0,0,116,8,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,discard,RSTO,0,0,273,13,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,http,SF,300,440,7,7,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,icmp,ecr_i,SF,520,0,511,511,0.0,0.0,46,ATTACK,LOW,0.7,High count
0,udp,private,SF,54,51,511,511,0.0,0.0,255,ATTACK,MEDIUM,0.8,High count; High dst_host_count
805,tcp,http,RSTR,76944,1,12,12,0.0,1.0,241,ATTACK,MEDIUM,0.8,High rerror_rate; High dst_host_count
0,udp,private,SF,1,1,40,3,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,REJ,0,0,483,1,0.05,0.92,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,imap4,RSTO,0,44,2,2,0.0,1.0,185,ATTACK,LOW,0.7,High rerror_rate
0,tcp,http,SF,209,12894,11,11,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,udp,domain_u,SF,43,71,113,113,0.0,0.0,255,ATTACK,MEDIUM,0.8,High count; High dst_host_count
0,tcp,ftp_data,SF,88382,0,15,15,0.0,0.0,203,ATTACK,MEDIUM,0.8,High dst_host_count; Short burst with high bytes
0,tcp,private,S0,0,0,144,8,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
0,tcp,http,SF,335,3228,49,50,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,mtp,REJ,0,0,266,8,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,http,SF,234,3236,8,21,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,systat,S0,0,0,281,6,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
0,tcp,http,SF,54540,8314,4,24,0.0,0.0,255,ATTACK,MEDIUM,0.8,High dst_host_count; Short burst with high bytes
0,tcp,telnet,S0,0,0,1,12,1.0,0.0,91,ATTACK,LOW,0.7,High serror_rate
0,udp,private,SF,46,45,68,68,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,http,SF,256,4926,1,41,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,iso_tsap,REJ,0,0,239,7,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,private,REJ,0,0,201,3,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
282,tcp,ftp,SF,160,599,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,imap4,REJ,0,0,280,8,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
7428,tcp,telnet,SF,0,44,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,http,SF,282,396,8,8,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
4,tcp,pop_3,SF,28,93,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,http,SF,233,2239,3,3,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,http,SF,257,8712,2,20,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,other,REJ,0,0,412,1,0.15,0.83,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,http,SF,214,645,30,30,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,telnet,REJ,0,0,4,6,0.0,1.0,106,ATTACK,LOW,0.7,High rerror_rate
0,tcp,private,REJ,0,0,109,13,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,smtp,S0,0,0,114,1,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
0,tcp,http,SF,203,651,19,19,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,REJ,0,0,216,14,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,csnet_ns,REJ,0,0,251,3,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
8092,tcp,telnet,SF,0,15,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,http,SF,337,283,24,29,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,REJ,0,0,267,19,0.01,0.99,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,private,REJ,0,0,231,6,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,http,SF,258,1012,26,26,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,finger,RSTO,0,0,58,19,0.0,1.0,255,ATTACK,MEDIUM,0.8,High rerror_rate; High dst_host_count
0,tcp,pop_3,RSTO,0,36,3,7,0.0,1.0,189,ATTACK,LOW,0.7,High rerror_rate
0,tcp,http,SF,236,10503,3,3,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,http,SF,303,2789,8,8,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,REJ,0,0,103,4,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,other,REJ,0,0,1,1,0.0,1.0,255,ATTACK,MEDIUM,0.8,High rerror_rate; High dst_host_count
3,tcp,pop_3,SF,28,93,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,udp,domain_u,SF,44,113,3,5,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,SH,0,0,1,1,1.0,0.0,30,ATTACK,LOW,0.7,High serror_rate
0,tcp,uucp,RSTO,0,0,119,7,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,other,S0,0,0,497,1,0.0,0.99,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,private,REJ,0,0,217,6,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,private,REJ,0,0,106,15,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,private,REJ,0,0,239,12,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
31,tcp,telnet,SF,197,1608,1,1,0.0,0.0,248,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,REJ,0,0,117,10,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,private,REJ,0,0,228,15,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
8080,tcp,telnet,SF,0,15,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
8124,tcp,telnet,SF,0,15,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,http,SF,224,278,3,5,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,S0,0,0,259,20,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
0,tcp,http,SF,321,372,16,17,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,icmp,ecr_i,SF,1032,0,173,173,0.0,0.0,255,ATTACK,MEDIUM,0.8,High count; High dst_host_count
0,tcp,whois,REJ,0,0,282,17,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,udp,private,SF,48,0,5,5,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,icmp,ecr_i,SF,508,0,511,511,0.0,0.0,255,ATTACK,MEDIUM,0.8,High count; High dst_host_count
0,tcp,private,SH,0,0,1,1,1.0,0.0,80,ATTACK,LOW,0.7,High serror_rate
0,tcp,private,REJ,0,0,132,12,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,udp,domain_u,SF,43,78,208,207,0.0,0.0,255,ATTACK,MEDIUM,0.8,High count; High dst_host_count
0,tcp,telnet,SF,124,174,2,2,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,REJ,0,0,226,2,0.03,0.97,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,udp,domain_u,SF,42,42,7,12,0.0,0.0,220,ATTACK,LOW,0.7,High dst_host_count
0,udp,domain_u,SF,42,42,13,19,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,telnet,S3,0,44,1,1,1.0,0.0,255,ATTACK,MEDIUM,0.8,High serror_rate; High dst_host_count
7554,tcp,telnet,SF,0,44,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,REJ,0,0,218,19,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,udp,private,SF,43,0,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,imap4,RSTO,0,44,3,3,0.0,0.67,186,ATTACK,LOW,0.7,High rerror_rate
0,tcp,http,SF,218,287,15,15,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,udp,domain_u,SF,42,42,4,5,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,REJ,0,0,131,5,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,private,REJ,0,0,269,7,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
2079,tcp,http,RSTR,72564,0,11,11,0.0,1.0,255,ATTACK,MEDIUM,0.8,High rerror_rate; High dst_host_count
0,tcp,telnet,S0,0,0,1,9,1.0,0.0,160,ATTACK,LOW,0.7,High serror_rate
0,tcp,private,REJ,0,0,109,5,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,http,SF,244,8745,4,4,0.0,0.0,206,ATTACK,LOW,0.7,High dst_host_count
7466,tcp,telnet,SF,0,44,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,telnet,RSTO,124,188,1,1,0.0,1.0,255,ATTACK,MEDIUM,0.8,High rerror_rate; High dst_host_count
0,tcp,private,S0,0,0,200,8,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
1,tcp,smtp,SF,2599,293,3,3,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,REJ,0,0,267,11,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
8169,tcp,telnet,SF,0,15,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,mtp,REJ,0,0,286,18,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,netbios_ns,S0,0,0,179,19,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
0,tcp,private,S0,0,0,203,14,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
0,tcp,private,REJ,0,0,273,3,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,systat,S0,0,0,239,20,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
0,tcp,other,REJ,0,0,461,1,0.08,0.92,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,private,RSTO,0,0,198,1,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
282,tcp,ftp,SF,162,601,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,imap4,S0,0,0,110,9,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
0,tcp,private,S0,0,0,216,7,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
281,tcp,ftp,SF,158,595,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,S0,0,0,158,5,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
7526,tcp,telnet,SF,0,44,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,REJ,0,0,242,2,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,private,REJ,0,0,272,14,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
2079,tcp,http,RSTR,69644,0,12,12,0.0,1.0,255,ATTACK,MEDIUM,0.8,High rerror_rate; High dst_host_count
0,tcp,http,SF,293,771,10,35,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,REJ,0,0,510,1,0.01,0.96,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,other,REJ,0,0,444,1,0.05,0.95,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,telnet,SF,121,174,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,icmp,ecr_i,SF,508,0,321,321,0.0,0.0,255,ATTACK,MEDIUM,0.8,High count; High dst_host_count
0,udp,domain_u,SF,44,44,120,200,0.0,0.0,255,ATTACK,MEDIUM,0.8,High count; High dst_host_count
0,tcp,http,SF,205,398,20,20,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,udp,domain_u,SF,44,44,139,139,0.0,0.0,255,ATTACK,MEDIUM,0.8,High count; High dst_host_count
4,tcp,pop_3,SF,26,93,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,REJ,0,0,148,1,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,link,REJ,0,0,233,17,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,udp,domain_u,SF,45,45,205,204,0.0,0.0,255,ATTACK,MEDIUM,0.8,High count; High dst_host_count
0,tcp,private,REJ,0,0,139,17,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,http,SF,389,1071,11,12,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
7510,tcp,telnet,SF,0,44,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,finger,RSTO,0,0,200,13,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,udp,domain_u,SF,44,44,2,3,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
27,tcp,ftp,SF,360,1172,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,ftp,SF,26,157,1,1,0.0,0.0,218,ATTACK,LOW,0.7,High dst_host_count
0,tcp,Z39_50,REJ,0,0,209,4,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
1,tcp,telnet,RSTO,0,15,1,7,0.0,1.0,96,ATTACK,LOW,0.7,High rerror_rate
0,tcp,http,S0,0,0,110,110,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
0,tcp,http,SF,197,6356,18,19,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,http,SF,280,303,2,2,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,other,REJ,0,0,445,1,0.09,0.91,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,whois,REJ,0,0,217,9,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,telnet,S3,0,44,1,1,1.0,0.0,255,ATTACK,MEDIUM,0.8,High serror_rate; High dst_host_count
0,tcp,http,SF,353,1203,4,4,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,http,SF,245,351,13,20,0.0,0.0,254,ATTACK,LOW,0.7,High dst_host_count
2069,tcp,http,RSTR,72564,0,8,8,0.0,1.0,255,ATTACK,MEDIUM,0.8,High rerror_rate; High dst_host_count
0,icmp,ecr_i,SF,1008,0,70,70,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,http,SF,283,3160,26,26,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,udp,domain_u,SF,33,0,1,2,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,udp,private,SF,43,0,2,2,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,http,SF,230,327,11,21,0.0,0.0,218,ATTACK,LOW,0.7,High dst_host_count
0,udp,private,SF,53,50,325,325,0.0,0.0,255,ATTACK,MEDIUM,0.8,High count; High dst_host_count
0,tcp,private,REJ,0,0,195,3,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,http,SF,54540,8314,4,6,0.0,0.0,255,ATTACK,MEDIUM,0.8,High dst_host_count; Short burst with high bytes
0,tcp,http,SF,276,1973,34,34,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,S0,0,0,148,11,1.0,0.0,58,ATTACK,MEDIUM,0.8,High count; High serror_rate
0,udp,domain_u,SF,44,71,178,177,0.0,0.0,255,ATTACK,MEDIUM,0.8,High count; High dst_host_count
0,tcp,http,SF,234,773,38,38,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,udp,private,SF,53,53,511,511,0.0,0.0,255,ATTACK,MEDIUM,0.8,High count; High dst_host_count
0,tcp,sunrpc,REJ,0,0,1,3,0.0,1.0,255,ATTACK,MEDIUM,0.8,High rerror_rate; High dst_host_count
0,tcp,http,SF,306,55311,6,9,0.0,0.0,255,ATTACK,MEDIUM,0.8,High dst_host_count; Short burst with high bytes
0,tcp,auth,REJ,0,0,202,10,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,http,S0,0,0,35,35,0.26,0.74,255,ATTACK,MEDIUM,0.8,High rerror_rate; High dst_host_count
0,udp,private,SF,53,50,505,505,0.0,0.0,255,ATTACK,MEDIUM,0.8,High count; High dst_host_count
902,tcp,http,RSTR,57964,0,42,42,0.02,0.95,255,ATTACK,MEDIUM,0.8,High rerror_rate; High dst_host_count
0,tcp,telnet,SF,0,0,1,2,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,udp,domain_u,SF,44,44,80,160,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,http,S0,0,0,29,29,0.79,0.17,255,ATTACK,MEDIUM,0.8,High serror_rate; High dst_host_count
0,tcp,private,REJ,0,0,124,12,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,private,S0,0,0,117,11,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
0,tcp,http,SF,175,1724,1,15,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
282,tcp,ftp,SF,164,599,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,S0,0,0,224,2,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
0,tcp,netbios_dgm,S0,0,0,234,2,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
0,tcp,smtp,SF,1710,366,1,3,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,S0,0,0,189,17,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
0,tcp,other,REJ,0,0,509,1,0.14,0.86,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,telnet,S0,0,0,1,6,1.0,0.0,7,ATTACK,LOW,0.7,High serror_rate
0,tcp,http,SF,245,4461,9,9,0.0,0.0,222,ATTACK,LOW,0.7,High dst_host_count
281,tcp,ftp,SF,164,599,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,http,SF,235,12823,2,2,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,http,SF,353,4627,20,20,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,REJ,0,0,252,19,0.0,1.0,138,ATTACK,MEDIUM,0.8,High count; High rerror_rate
0,tcp,telnet,RSTO,0,0,266,17,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,private,S0,0,0,294,16,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
0,udp,domain_u,SF,44,44,5,4,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,uucp_path,REJ,0,0,211,15,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,http,SF,347,521,4,4,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,S0,0,0,216,17,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
0,tcp,private,RSTR,0,0,1,1,0.0,1.0,133,ATTACK,LOW,0.7,High rerror_rate
0,tcp,private,REJ,0,0,145,17,0.0,1.0,244,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,udp,private,SF,52,55,508,508,0.0,0.0,255,ATTACK,MEDIUM,0.8,High count; High dst_host_count
0,tcp,telnet,REJ,0,0,1,24,0.0,1.0,238,ATTACK,MEDIUM,0.8,High rerror_rate; High dst_host_count
0,tcp,private,RSTO,0,0,140,17,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,private,REJ,0,0,212,19,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,udp,private,SF,46,51,20,20,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,imap4,S0,0,0,1,3,1.0,0.0,148,ATTACK,LOW,0.7,High serror_rate
0,tcp,finger,S0,0,0,290,16,1.0,0.0,255,ATTACK,HIGH,0.9,High count; High serror_rate; High dst_host_count
0,tcp,http,SF,205,655,41,43,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
282,tcp,ftp,SF,158,595,1,1,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,private,REJ,0,0,221,2,0.0,1.0,255,ATTACK,HIGH,0.9,High count; High rerror_rate; High dst_host_count
0,tcp,telnet,S3,0,44,1,1,1.0,0.0,255,ATTACK,MEDIUM,0.8,High serror_rate; High dst_host_count
0,tcp,http,SF,256,22095,13,13,0.0,0.0,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,other,REJ,0,0,2,1,0.0,0.5,255,ATTACK,LOW,0.7,High dst_host_count
0,tcp,pop_3,RSTO,0,36,1,1,0.0,1.0,181,ATTACK,LOW,0.7,High rerror_rate
0,udp,private,SF,54,53,511,511,0.0,0.0,255,ATTACK,MEDIUM,0.8,High count; High dst_host_count
